id,title,difficulty,totalNotes,sub_constant_1,main_constant,sub_constant_2,stamina,handspeed,burst,complex,rhythm
306,Xastur之魔导书,oni,560,5.25 ,6.50 ,7.88 ,4.74 ,2.16 ,9.25 ,7.39 ,7.03 
307,NINJA WA SAIKOU,oni,604,2.36 ,2.56 ,2.09 ,3.78 ,1.51 ,6.57 ,0.00 ,0.41 
308,忍者棒棒,oni,529,2.18 ,1.87 ,1.07 ,3.09 ,0.14 ,0.01 ,2.12 ,0.43 
309,Nightmare Survivor,edit,876,12.16 ,10.99 ,11.69 ,11.22 ,10.51 ,10.56 ,14.20 ,13.13 
309,Nightmare Survivor,oni,618,7.12 ,7.59 ,8.52 ,5.91 ,2.78 ,1.67 ,10.37 ,9.29 
310,脑浆炸裂GIRL,edit,710,9.19 ,9.00 ,7.79 ,10.00 ,4.50 ,8.51 ,11.41 ,6.87 
310,脑浆炸裂GIRL,oni,593,4.05 ,4.43 ,5.13 ,5.91 ,1.69 ,1.67 ,3.30 ,5.62 
311,ARUMUSIKA ac14.0V,oni,555,6.82 ,7.11 ,6.15 ,4.89 ,1.60 ,8.44 ,10.56 ,4.42 
312,よく遊びよく学べ,oni,291,0.54 ,0.51 ,0.30 ,0.94 ,0.04 ,0.05 ,0.00 ,0.20 
313,OBAKE NO OSHIGOTO,oni,427,0.87 ,0.93 ,0.80 ,1.40 ,0.24 ,0.60 ,0.50 ,0.80 
314,稍息立正站好,edit,504,4.97 ,4.23 ,2.32 ,5.61 ,1.34 ,0.05 ,6.32 ,0.46 
314,稍息立正站好,oni,288,0.51 ,0.47 ,0.24 ,0.88 ,0.05 ,0.05 ,0.00 ,0.04 
315,3Q-4U-AC00,oni,539,2.04 ,2.14 ,1.58 ,3.44 ,0.73 ,4.70 ,0.00 ,0.26 
316,KURU KURU KUROKKURU,oni,615,4.10 ,6.11 ,8.75 ,4.01 ,0.24 ,1.05 ,5.80 ,10.10 
317,KAGAMI NO KUNI NO ALICE,edit,569,4.63 ,4.76 ,3.68 ,6.29 ,1.89 ,7.75 ,4.53 ,2.48 
317,KAGAMI NO KUNI NO ALICE,oni,443,1.97 ,2.11 ,1.66 ,3.24 ,0.30 ,2.83 ,0.98 ,1.39 
